Date,Open,High,Low,Close,Volume
"Aug 25, 2021",206.65,227,193,199.65,"12,861,059"
"Aug 26, 2021",200.68,217,199,205.22,"6,238,647"
"Aug 27, 2021",207.7,213,200.02,204.95,"3,230,804"
"Aug 30, 2021",205,218.19,203.02,209.2,"3,309,584"
"Aug 31, 2021",212.7,222.3,211.46,218.24,"3,574,687"
"Sep 1, 2021",224,231.44,208.02,212.97,"4,453,782"
"Sep 2, 2021",213.86,214.8,206.3,213.52,"1,855,618"
"Sep 3, 2021",212.05,216.27,198.84,202.75,"2,664,005"
"Sep 7, 2021",206.25,209.9,196.1,199,"2,501,178"
"Sep 8, 2021",201.86,206.88,190.68,198.8,"5,173,566"
"Sep 9, 2021",180.09,202,178,199.18,"7,511,458"
"Sep 10, 2021",198.41,202.16,190,190.41,"3,042,648"
"Sep 13, 2021",193.75,208.88,191.5,203.4,"4,334,068"
"Sep 14, 2021",200.65,204.62,195,199.24,"2,141,631"
"Sep 15, 2021",197,204.87,193.75,204.52,"2,310,407"
"Sep 16, 2021",202.33,216.55,201.15,206.37,"3,058,217"
"Sep 17, 2021",208.02,212.49,200.78,204.97,"3,950,643"
"Sep 20, 2021",200,202.85,184.55,192.2,"3,941,802"
"Sep 21, 2021",199.36,199.36,186,189.95,"2,633,827"
"Sep 22, 2021",189.64,193.5,186.29,190.14,"2,256,593"
"Sep 23, 2021",192.33,195.75,190.6,191.24,"1,682,259"
"Sep 24, 2021",191,191.72,184.11,185.16,"1,685,759"
"Sep 27, 2021",185.92,192.05,185.87,189.48,"1,470,146"
"Sep 28, 2021",188,190.81,178,178.6,"1,770,493"
"Sep 29, 2021",180.09,184.48,174.61,175.92,"1,899,933"
"Sep 30, 2021",175,185.45,166.79,175.47,"3,177,453"
"Oct 1, 2021",179.4,179.49,172.25,176.91,"1,551,139"
"Oct 4, 2021",175.95,176.95,170.77,171.36,"1,195,738"
"Oct 5, 2021",171.19,173.17,166.7,172.18,"1,315,854"
"Oct 6, 2021",170.06,172.96,165.81,171.07,"1,200,320"
"Oct 7, 2021",172,175.2,170.54,172.12,"1,159,326"
"Oct 8, 2021",172.5,175.72,171.12,172.68,"818,207"
"Oct 11, 2021",173,188.49,173,178.1,"2,684,855"
"Oct 12, 2021",180.5,181.78,173.8,175.82,"1,233,652"
"Oct 13, 2021",178.3,188.21,176,184.06,"1,930,239"
"Oct 14, 2021",183.76,190.2,182.6,183.83,"1,676,008"
"Oct 15, 2021",184,186.98,180.88,183.28,"1,199,977"
"Oct 18, 2021",182.94,189.87,182.55,186.02,"1,589,648"
"Oct 19, 2021",188.99,192.18,184.4,186.79,"2,070,618"
"Oct 20, 2021",186.33,188,181.98,184.52,"2,276,903"
"Oct 21, 2021",184.71,190.7,180.6,181.71,"2,402,368"
