Date,Open,High,Low,Close,Volume
"Apr 22, 2021",9.08,9.42,8.48,8.5,"12,716,952"
"Apr 23, 2021",8.55,9.3,8.51,8.77,"12,251,717"
"Apr 26, 2021",8.98,9.45,8.84,9.22,"12,273,076"
"Apr 27, 2021",9.31,9.67,9.02,9.24,"8,484,643"
"Apr 28, 2021",9.46,11.23,9.36,10.5,"86,442,387"
"Apr 29, 2021",11.24,11.77,9.91,10.17,"68,334,920"
"Apr 30, 2021",9.88,10.47,9.72,9.85,"17,439,374"
"May 3, 2021",10.19,10.58,9.21,9.29,"15,999,118"
"May 4, 2021",9.26,9.35,8.55,9.06,"10,100,055"
"May 5, 2021",9.08,9.13,8.72,8.84,"6,653,611"
"May 6, 2021",8.71,8.79,8.13,8.23,"8,475,988"
"May 7, 2021",8.39,8.91,8.25,8.62,"6,507,356"
"May 10, 2021",8.75,8.76,8.19,8.26,"6,204,034"
"May 11, 2021",7.66,8.24,7.54,8.13,"8,188,688"
"May 12, 2021",7.97,8.24,7.71,7.78,"7,664,016"
"May 13, 2021",7.92,7.95,7.08,7.26,"9,648,793"
"May 14, 2021",7.35,7.69,7.19,7.47,"7,968,626"
"May 17, 2021",7.59,7.93,6.59,6.82,"38,561,966"
"May 18, 2021",6.77,7.2,6.6,6.97,"16,185,710"
"May 19, 2021",6.74,6.91,6.52,6.84,"9,210,396"
"May 20, 2021",6.87,7.18,6.76,7.13,"9,340,391"
"May 21, 2021",7.13,7.3,6.92,6.93,"7,435,598"
"May 24, 2021",6.92,7.04,6.82,6.92,"5,711,118"
"May 25, 2021",6.96,7.23,6.92,7.02,"5,745,079"
"May 26, 2021",7.08,7.55,6.98,7.33,"8,083,037"
"May 27, 2021",7.4,8.1,7.12,7.83,"31,641,312"
"May 28, 2021",8.06,8.2,7.51,7.64,"13,836,160"
"Jun 1, 2021",7.65,7.97,7.57,7.73,"8,800,166"
"Jun 2, 2021",7.79,8.89,7.66,8.74,"34,883,731"
"Jun 3, 2021",10.01,10.46,8.55,8.94,"48,726,788"
"Jun 4, 2021",9.17,9.48,8.97,9,"16,049,885"
"Jun 7, 2021",9.47,12,9.35,11.92,"125,343,931"
"Jun 8, 2021",16.64,24.93,16.32,22.15,"735,483,657"
"Jun 9, 2021",28,28.85,16.8,16.92,"371,777,102"
"Jun 10, 2021",18.09,18.11,13.91,14.34,"155,520,636"
"Jun 11, 2021",14.6,16.26,13.43,15.03,"142,806,005"
"Jun 14, 2021",14.65,16.05,13.6,14.66,"96,497,915"
"Jun 15, 2021",14.52,15.47,13.68,13.77,"53,251,695"
"Jun 16, 2021",13.57,13.73,12.5,12.95,"40,173,216"
"Jun 17, 2021",12.96,13.62,12.5,12.56,"30,705,952"
"Jun 18, 2021",12.71,13.45,12.02,12.04,"34,165,284"
"Jun 21, 2021",12.17,12.25,11.16,11.24,"32,480,244"
"Jun 22, 2021",11.79,13.95,11.61,12.63,"154,157,512"
"Jun 23, 2021",13.95,14.54,13.11,13.83,"152,247,792"
"Jun 24, 2021",14.99,15.1,13.51,13.79,"101,689,025"
"Jun 25, 2021",13.43,13.78,12.77,12.97,"50,810,170"
"Jun 28, 2021",13.05,13.38,12.6,12.8,"36,178,122"
"Jun 29, 2021",12.71,14.44,12.54,13.36,"73,090,601"
"Jun 30, 2021",13.6,14.17,13.17,13.32,"34,028,169"
"Jul 1, 2021",13.21,13.25,12.26,12.33,"24,333,283"
"Jul 2, 2021",12.16,12.2,11.3,11.71,"30,911,901"
"Jul 6, 2021",11.11,11.16,9.96,10,"76,124,989"
"Jul 7, 2021",10.47,10.47,9.61,9.72,"35,594,753"
"Jul 8, 2021",9.38,9.67,9.19,9.36,"30,389,512"
"Jul 9, 2021",9.57,9.61,9.13,9.27,"28,691,794"
"Jul 12, 2021",9.15,10,8.86,9.68,"49,811,960"
"Jul 13, 2021",9.41,9.52,8.77,8.91,"39,649,497"
"Jul 14, 2021",8.95,9.25,8.57,8.68,"26,250,138"
"Jul 15, 2021",8.3,8.73,7.95,8.26,"29,125,751"
"Jul 16, 2021",8.4,8.52,8.11,8.2,"17,391,794"
"Jul 19, 2021",7.87,8.38,7.67,8.3,"20,086,776"
"Jul 20, 2021",8.2,8.5,7.92,8.35,"24,279,363"
"Jul 21, 2021",8.4,9.09,8.32,8.88,"30,192,543"
"Jul 22, 2021",9.45,9.45,8.4,8.62,"44,877,773"
"Jul 23, 2021",8.35,8.44,7.97,8.05,"28,133,923"
"Jul 26, 2021",8.04,8.52,7.92,8.2,"19,174,076"
"Jul 27, 2021",8.06,8.25,7.84,8.05,"14,958,448"
"Jul 28, 2021",8.07,8.43,7.97,8.32,"16,262,738"
"Jul 29, 2021",8.29,8.46,8.14,8.22,"9,345,898"
"Jul 30, 2021",8.11,8.32,8.03,8.07,"7,460,635"
"Aug 2, 2021",8.13,8.5,7.98,8.15,"19,707,906"
"Aug 3, 2021",8.3,8.59,8.03,8.12,"17,597,240"
"Aug 4, 2021",8.15,8.16,7.88,7.92,"12,343,469"
"Aug 5, 2021",7.94,8.2,7.85,8.13,"10,743,221"
"Aug 6, 2021",8.05,8.15,7.98,8.07,"7,400,922"
"Aug 9, 2021",8.15,8.84,8.08,8.81,"25,819,641"
"Aug 10, 2021",9.11,9.23,8.15,8.41,"30,104,389"
"Aug 11, 2021",8.41,8.43,8.02,8.13,"33,452,455"
"Aug 12, 2021",9.52,9.65,8.58,9.01,"147,395,417"
"Aug 13, 2021",8.74,8.9,8.2,8.22,"39,432,537"
"Aug 16, 2021",8.29,8.57,7.93,8.49,"25,402,983"
"Aug 17, 2021",8.32,8.53,8.01,8.17,"21,117,866"
"Aug 18, 2021",8.21,8.24,8.01,8.05,"13,664,380"
"Aug 19, 2021",7.98,8.07,7.41,7.56,"27,607,524"
"Aug 20, 2021",7.66,7.88,7.56,7.75,"17,207,070"
"Aug 23, 2021",7.81,8.24,7.69,8.12,"16,209,335"
"Aug 24, 2021",8.15,9.1,8.07,8.92,"37,674,701"
"Aug 25, 2021",8.78,9.11,8.55,8.73,"26,763,822"
"Aug 26, 2021",8.57,8.89,8.43,8.49,"16,055,451"
"Aug 27, 2021",8.46,8.73,8.34,8.61,"13,641,351"
"Aug 30, 2021",8.58,8.66,8.27,8.48,"14,454,574"
"Aug 31, 2021",8.36,8.69,8.31,8.58,"13,485,803"
"Sep 1, 2021",8.5,8.65,8.42,8.47,"12,606,826"
"Sep 2, 2021",8.47,9.09,8.43,8.87,"26,155,679"
"Sep 3, 2021",9.16,9.46,8.62,8.84,"29,666,646"
"Sep 7, 2021",9.01,11.13,9.01,10.8,"175,897,174"
"Sep 8, 2021",10.36,10.4,9.2,9.45,"78,017,620"
